video_id,date,title,mp3_url
fbc-2019-12-15am-the-ministry-of-tychicus,20191215,The Ministry Of Tychicus,http://fbcministries.net/sermons/2019-12-15AM-The_Ministry_Of_Tychicus.mp3
fbc-2019-12-11mw-elijahs-final-encounter-with-ahab,20191211,Elijahs Final Encounter With Ahab,http://fbcministries.net/sermons/Elijah_And_Elisha_Series/2019-12-11MW-Elijahs_Final_Encounter_With_Ahab.mp3
fbc-2019-12-08am-make-known-the-gospel,20191208,Make Known The Gospel,http://fbcministries.net/sermons/2019-12-08AM-Make_Known_The_Gospel.mp3
fbc-2019-12-04mw-elijah-requested-death,20191204,Elijah Requested Death,http://fbcministries.net/sermons/Elijah_And_Elisha_Series/2019-12-04MW-Elijah_Requested_Death.mp3
fbc-2019-12-01am-put-on-the-whole-armor-of-god,20191201,Put On The Whole Armor Of God,http://fbcministries.net/sermons/2019-12-01AM-Put_On_The_Whole_Armor_Of_God.mp3
fbc-2019-12-01ss-what-hast-thou-that-thou-didst-not-receive,20191201,What Hast Thou That Thou Didst Not Receive,http://fbcministries.net/sermons/2019-12-01SS-What_Hast_Thou_That_Thou_Didst_Not_Receive.mp3
fbc-2019-11-24ss-caleb-followed-the-lord,20191124,Caleb Followed The Lord,http://fbcministries.net/sermons/2019-11-24SS-Caleb_Followed_The_Lord.mp3
fbc-2019-11-13mw-jobs-ministry-to-others,20191113,Jobs Ministry To Others,http://fbcministries.net/sermons/2019-11-13MW-Jobs_Ministry_To_Others.mp3
fbc-2019-11-10ss-my-tongue-shall-speak-of-thy-word,20191110,My Tongue Shall Speak Of Thy Word,http://fbcministries.net/sermons/2019-11-10SS-My_Tongue_Shall_Speak_Of_Thy_Word.mp3
fbc-2019-11-10am-prepare-for-battle,20191110,Prepare For Battle,http://fbcministries.net/sermons/2019-11-10AM-Prepare_For_Battle.mp3
fbc-2019-11-06mw-a-sound-of-abundance-of-rain,20191106,A Sound Of Abundance Of Rain,http://fbcministries.net/sermons/Elijah_And_Elisha_Series/2019-11-06MW-A_Sound_Of_Abundance_Of_Rain.mp3
fbc-2019-11-03am-a-godly-testimony-in-the-workplace,20191103,A Godly Testimony In The Workplace,http://fbcministries.net/sermons/2019-11-03AM-A_Godly_Testimony_In_The_Workplace.mp3
fbc-2019-11-03ss-great-peace-have-they-which-love-thy-law,20191103,Great Peace Have They Which Love Thy Law,http://fbcministries.net/sermons/2019-11-03SS-Great_Peace_Have_They_Which_Love_Thy_Law.mp3
fbc-2019-10-30mw-the-fire-of-the-lord-fell,20191030,The Fire Of The Lord Fell,http://fbcministries.net/sermons/Elijah_And_Elisha_Series/2019-10-30MW-The_Fire_Of_The_Lord_Fell.mp3
fbc-2019-10-23mw-fellowlabourers,20191023,Fellowlabourers,http://fbcministries.net/sermons/2019-10-23MW-Fellowlabourers.mp3
fbc-2019-10-20pm-be-still,20191020,Be Still,http://fbcministries.net/sermons/2019-10-20PM-Be_Still.mp3
fbc-2019-10-20am-especially-the-parchments,20191020,Especially The Parchments,http://fbcministries.net/sermons/2019-10-20AM-Especially_The_Parchments.mp3
fbc-2019-10-20ss-a-plea-for-deliverance,20191020,A Plea For Deliverance,http://fbcministries.net/sermons/2019-10-20SS-A_Plea_For_Deliverance.mp3
fbc-2019-10-16mw-how-long-halt-ye-between-two-opinions,20191016,How Long Halt Ye Between Two Opinions,http://fbcministries.net/sermons/Elijah_And_Elisha_Series/2019-10-16MW-How_Long_Halt_Ye_Between_Two_Opinions.mp3
fbc-2019-10-13am-a-glorious-church,20191013,A Glorious Church,http://fbcministries.net/sermons/2019-10-13AM-A_Glorious_Church.mp3
fbc-2019-10-13ss-all-thy-commandments-are-truth,20191013,All Thy Commandments Are Truth,http://fbcministries.net/sermons/2019-10-13SS-All_Thy_Commandments_Are_Truth.mp3
fbc-2019-10-09mw-trouble-in-israel,20191009,Trouble In Israel,http://fbcministries.net/sermons/Elijah_And_Elisha_Series/2019-10-09MW-Trouble_In_Israel.mp3
fbc-2019-10-06am-revival-in-your-home,20191006,Revival In Your Home,http://fbcministries.net/sermons/2019-10-06AM-Revival_In_Your_Home.mp3
fbc-2019-10-06ss-thy-word-is-very-pure,20191006,Thy Word Is Very Pure,http://fbcministries.net/sermons/2019-10-06SS-Thy_Word_Is_Very_Pure.mp3
fbc-092219ss-thy-testimonies-are-wonderful,20190922,Thy Testimonies Are Wonderful,http://fbcministries.net/sermons/092219SS-Thy_Testimonies_Are_Wonderful.mp3
